,Movie_name,Rating,Duration,Release_year,Genre,Director,Meta_score
0,1. American Psycho,7.6,1h 42m,2000-01-01,drama,Mary Harron,64
1,2. Battle Royale,7.5,1h 54m,2000-01-01,drama,Kinji Fukasaku,81
2,"3. Crouching Tiger, Hidden Dragon",7.9,2h,2000-01-01,drama,Ang Lee,94
3,5. Frequency,7.4,1h 58m,2000-01-01,drama,Gregory Hoblit,67
4,6. Ginger Snaps,6.8,1h 48m,2000-01-01,drama,John Fawcett,70
5,7. Gladiator,8.5,2h 35m,2000-01-01,drama,Ridley Scott,67
6,10. Malena,7.4,1h 48m,2000-01-01,drama,Giuseppe Tornatore,54
7,12. Men of Honor,7.2,2h 9m,2000-01-01,drama,George Tillman Jr.,56
8,13. Mohabbatein,7.0,3h 36m,2000-01-01,drama,Aditya Chopra,0
9,19. Tigerland,6.9,1h 41m,2000-01-01,drama,Joel Schumacher,55
10,20. Unbreakable,7.3,1h 46m,2000-01-01,drama,M. Night Shyamalan,62
11,22. A.I. Artificial Intelligence,7.2,2h 26m,2001-01-01,drama,Steven Spielberg,65
12,24. Dil Chahta Hai,8.0,3h 3m,2001-01-01,drama,Farhan Akhtar,0
13,25. Donnie Darko,8.0,1h 53m,2001-01-01,drama,Richard Kelly,88
14,26. Gosford Park,7.2,2h 17m,2001-01-01,drama,Robert Altman,90
15,28. Huccha,7.8,2h 58m,2001-01-01,drama,Om Prakash Rao,0
16,31. Lagaan: Once Upon a Time in India,8.1,3h 44m,2001-01-01,drama,Ashutosh Gowariker,84
17,33. No Man's Land,7.9,1h 38m,2001-01-01,drama,Danis Tanovic,84
18,35. Original Sin,6.0,1h 56m,2001-01-01,drama,Michael Cristofer,33
19,36. Mulholland Drive,7.9,2h 27m,2001-01-01,drama,David Lynch,87
20,37. Session 9,6.4,1h 37m,2001-01-01,drama,Brad Anderson,58
21,39. Sri Manjunatha,7.2,2h 32m,2001-01-01,drama,K. Raghavendra Rao,0
22,40. The Lord of the Rings: The Fellowship of the Ring,8.9,2h 58m,2001-01-01,drama,Peter Jackson,92
23,42. The Score,6.8,2h 4m,2001-01-01,drama,Frank Oz,71
24,43. Training Day,7.8,2h 2m,2001-01-01,drama,Antoine Fuqua,71
25,46. A Walk to Remember,7.3,1h 41m,2002-01-01,drama,Adam Shankman,35
26,47. Bend It Like Beckham,6.7,1h 52m,2002-01-01,drama,Gurinder Chadha,66
27,48. Catch Me If You Can,8.1,2h 21m,2002-01-01,drama,Steven Spielberg,75
28,49. Devdas,7.5,3h 5m,2002-01-01,drama,Sanjay Leela Bhansali,0
29,50. Equilibrium,7.3,1h 47m,2002-01-01,drama,Kurt Wimmer,33
30,53. Insomnia,7.2,1h 58m,2002-01-01,drama,Christopher Nolan,78
31,54. A Peck on the Cheek,8.3,2h 16m,2002-01-01,drama,Mani Ratnam,0
32,57. My Big Fat Greek Wedding,6.6,1h 35m,2002-01-01,drama,Joel Zwick,62
33,58. Panic Room,6.8,1h 52m,2002-01-01,drama,David Fincher,65
34,61. Secretary,6.9,1h 47m,2002-01-01,drama,Steven Shainberg,63
35,62. Signs,6.8,1h 46m,2002-01-01,drama,M. Night Shyamalan,59
